Suburb,Location
Frankston,"Nepean Highway at the intersection of Nepean Highway and Davey Street, Frankston"
Seaford,"Frankston Freeway off ramp at the intersection of Frankston Freeway off ramp and Dandenong-Frankston Road, Seaford"
Frankston,"Dandenong-Frankston Road at the intersection of Dandenong-Frankston Road and Skye Road, Frankston"
Geelong,"Latrobe Terrace at the intersection of Latrobe Terrace and Myers Street, Geelong"
Geelong North,"Thompson Road at the intersection of Thompson Road and Separation Street, Geelong North"
Geelong West,"Church Street at the intersection of Church Street and Shannon Avenue, Geelong West"
Glen Iris,"High Street at the intersection of High Street and Summerhill Road, Glen Iris"
Glen Waverley,"Springvale Road at the intersection of Springvale Road and High Street Road, Glen Waverley"
Glen Waverley,"Waverley Road at the intersection of Waverley Road and Blackburn Road, Glen Waverley"
Greensborough,"Greensborough Highway at the intersection of Greensborough Highway and Grimshaw Street, Greensborough"
Grovedale,"Princes Highway at the intersection of Princes Highway and Pioneer Road, Grovedale"
Hallam,"Princes Highway at the intersection of Princes Highway and Fitzgerald Road, Hallam"
Hampton Park,"Hallam Road at the intersection of Hallam Road and Fordholm Road, Hampton Park"
Hawthorn,"Glenferrie Road at the intersection of Glenferrie Road and Burwood Road, Hawthorn"
Hawthorn,"Barkers Road at the intersection of Barkers Road and Glenferrie Road, Hawthorn"
Highett,"Nepean Highway at the intersection of Nepean Highway and Karen Street, Highett"
Highett,"Nepean Highway at the intersection of Nepean Highway and Highett Road, Highett"
Highett,"Nepean Highway at the intersection of Nepean Highway and Highett Road, Highett"
Hume Freeway Beveridge,"Hume Freeway, Northbound Mount Fraser, Beveridge"
Hume Freeway Beveridge,"Hume Freeway, Southbound Mount Fraser, Beveridge"
Hume Freeway Broadford,"Hume Freeway, Northbound 101m south of Broadford-Flowerdale Road, Broadford"
Hume Freeway Broadford,"Hume Freeway, Southbound 109m south of Broadford-Flowerdale Road, Broadford"
Hume Freeway Craigieburn,"Hume Freeway, Southbound 65m south of Amaroo Road, Craigieburn"
Hume Freeway Craigieburn,"Hume Freeway, Northbound 66m south of Amaroo Road, Craigieburn"
Hume Freeway Epping,"Hume Freeway, Northbound 65m south of O'Herns Road, Epping"
Hume Freeway Epping,"Hume Freeway, Southbound 60m south of O'Herns Road, Epping"
Hume Freeway Wallan East,"Hume Freeway, Northbound Station Street, Wallan East"
Hume Freeway Wallan East,"Hume Freeway, Southbound Station Street, Wallan East"
Ironbark,"Loddon Valley Highway at the intersection of Loddon Valley Highway and Calder Highway, Ironbark"
Kensington,"Macauley Road at the intersection of Macauley Road and Stubbs Street, Kensington"
Kensington,"Epsom Road at the intersection of Epsom Road and Smithfield Road, Kensington"
Kew,"Chandler Highway at the intersection of Chandler Highway and Eastern Freeway, Kew"
Kew,"Charles Street at the intersection of Charles Street and Cotham Road, Kew"
Kew,"Denmark Street at the intersection of Denmark Street and High Street South, Kew"
Kew,"Denmark Street at the intersection of Denmark Street and Barkers Road, Kew"
Kew,"Glenferrie Road at the intersection of Glenferrie Road and Wellington Street, Kew"
Kew East,"Harp Road at the intersection of Harp Road and Burke Road, Kew East"
Kew East,"Burke Road at the intersection of Burke Road and Old Burke Road, Kew East"
